Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
  BUNNY DAY TABLE  ,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,Red,Pink,1x1,NA,Crafting,,1.1.0a,fancy,None,Bunny Day,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrEggTableS,NA,12436,QKMYK4KTjkZWeaduf
  EFFECTS RACK  ,Orange,NA,Emblem logo,Sticker area,No,No,Yes,3,6800,1700,Yellow,Green,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,concert,facility,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrEffectorrack_Remake_2_4,2_4,950,MKPwo9ExbBMWEAoo9
  RATTAN LOW TABLE  ,Reddish brown,NA,NA,NA,No,No,No,NA,2900,,Orange,Orange,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,rattan,None,No,Table,No,Does not play music,No lighting,For sale,FtrRattanTableM_Remake_1_0,1_0,4054,i47dZBHgyCjMaTCFn
  electric guitar  ,Chic white,NA,Emblem logo,Sticker area,No,No,Yes,7,71000,17750,White,Green,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_5_4,5_4,1645,sDSPQBb8A4oYedP4D
  wooden stool  ,Pink wood,Paint color,None,Seat,Yes,Yes,Yes,2,NFS,480,Pink,Pink,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrWoodenStoolS_Remake_7_0,7_0,3449,t8odszphRqETw2uYa
  FOLDING FLOOR LAMP  ,Yellow,NA,NA,NA,No,No,No,NA,1900,475,Yellow,Yellow,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,living room,None,None,Yes,Lamp,No,Does not play music,Spotlight,For sale,FtrLampArm_Remake_2_0,2_0,4014,3jbTXHcE8o5W4Wbkb
DEN DESK,Brown wood,NA,NA,NA,No,No,No,NA,10000,2500,Orange,Orange,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,den,None,None,den,No,Desk,No,Does not play music,No lighting,For sale,FtrDrawingTable_Remake_1_0,1_0,3783,E9GaNivENumhacvCt
SYNTHESIZER,Black,NA,NA,NA,No,No,No,NA,,16500,Black,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrSynthesizer_Remake_0_0,0_0,1171,rhRJX8qTFiSHjFHCK
  synthesizer  ,Yellow,NA,NA,NA,No,No,No,NA,66000,16500,Yellow,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrSynthesizer_Remake_3_0,3_0,1171,4bSJGw2Eb9LK27GjD
UPRIGHT LOCKER,Red,NA,Pop,Sticker area,No,No,Yes,2,3700,925,Red,Colorful,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrLocker_Remake_3_3,3_3,833,GZHSc4YFwhiTH23fA
elephant slide,Light blue,NA,NA,NA,No,No,No,NA,4200,,Light blue,White,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,child's room,None,None,No,Playground,No,Does not play music,No lighting,For sale,FtrSlideelephant_Remake_3_0,3_0,86,uS9GEqAwZdN2yBcxq
  stadiometer  ,Blue,NA,NA,NA,No,No,No,NA,2100,525,Blue,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,No,School,No,Does not play music,No lighting,For sale,FtrStadiometer_Remake_1_0,1_0,546,qyAEC4fxwXKRMd3Wk
  stall  ,Black,Variation,Waves,Curtain,Yes,Yes,Yes,3,NFS,,Black,Blue,2x1,NA,Crafting,,1.0.0,shop,party,None,None,No,Shop,Yes,Does not play music,No lighting,Not for sale,FtrFloat_Remake_6_4,6_4,3617,XGSZtziCBHtMYv2vn
  upright locker  ,Red,NA,Cute,Sticker area,No,No,Yes,2,3700,925,Red,Pink,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrLocker_Remake_3_2,3_2,833,ndsAxtnorJzQ8io4P
WOODEN STOOL,Black,Paint color,Green,Seat,Yes,Yes,Yes,2,NFS,480,Black,Green,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrWoodenStoolS_Remake_4_4,4_4,3449,nYiRNwkcYuLiCh6QP
  WOODEN-BLOCK STEREO  ,Natural,Block color,NA,NA,Yes,Yes,No,4,NFS,2460,Beige,Beige,2x1,NA,Crafting,,1.0.0,child's room,None,wooden block,None,Yes,Audio,No,Hi-fi,No lighting,Not for sale,FtrBlockCompo_Remake_0_0,0_0,3205,5oTTwCDJgLKuToY7H
frozen sculpture,Ice yellow,Illumination,NA,NA,Yes,Yes,No,7,NFS,6600,Yellow,Yellow,1.5x1.5,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIceArt_Remake_3_0,3_0,3501,oCmbuxkrLCJdgJXQ2
  wooden double bed  ,Black,Paint color,Green,Bedding,Yes,Yes,Yes,6,NFS,3600,Black,Green,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_4_3,4_3,7132,uiem3cjKuaML4JpSq
  frozen tree  ,Ice blue,Illumination,NA,NA,Yes,Yes,No,7,NFS,8200,Blue,Blue,2x2,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIceTree_Remake_1_0,1_0,3504,Ng6Xrc2oLAHcM2o6E
DIY workbench,Natural,Paint color,NA,NA,Yes,Yes,No,7,NFS,6630,Beige,Colorful,2x1,NA,Crafting,,1.0.0,garage,None,None,None,Workbench,Work Bench,No,Does not play music,No lighting,Not for sale,FtrWorkbench_Remake_0_0,0_0,1241,FE6vccFauNRCgRuj7
electric guitar,Cosmo black,NA,Pop logo,Sticker area,No,No,Yes,7,71000,17750,Black,Colorful,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_6_6,6_6,1645,7phZnAvFg3hLwqxG3
  ELECTRIC GUITAR  ,Natural wood,NA,Emblem logo,Sticker area,No,No,Yes,7,71000,17750,Beige,Green,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_1_4,1_4,1645,vzDYg3rpHk3YkDpth
  WOODEN END TABLE  ,Black,Paint color,NA,NA,Yes,Yes,No,2,NFS,,Black,Colorful,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableS_Remake_4_0,4_0,3438,qnpks89w8dga8mdsS
  STALL  ,Pink,Variation,Waves,Curtain,Yes,Yes,Yes,3,NFS,1440,Pink,Blue,2x1,NA,Crafting,,1.0.0,shop,party,None,None,No,Shop,Yes,Does not play music,No lighting,Not for sale,FtrFloat_Remake_4_4,4_4,3617,mNmf46dmhveZJnMPa
  throwback race-car bed  ,White,NA,NA,NA,No,No,No,NA,3800,950,White,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,throwback,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrBoyBedS_Remake_5_0,5_0,4759,ipjQq2gYYtxKXpeK7
lawn mower,Blue,NA,NA,NA,No,No,No,NA,2900,725,Blue,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,None,None,None,No,Garden,Yes,Does not play music,No lighting,For sale,FtrLawnmower_Remake_2_0,2_0,338,CLs9jA4Tqe3vjEYW4
  LOG EXTRA-LONG SOFA  ,Orange wood,Lumber type,Geometric print,Cushions,Yes,Yes,Yes,4,NFS,,Orange,Colorful,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaL_Remake_1_2,1_2,4044,LxCWETnYDJuFTSewS
GARDEN BENCH,Black,Variation,NA,NA,Yes,Yes,No,6,NFS,4440,Beige,Black,2x1,NA,Crafting,,1.0.0,garden,None,None,None,Yes,Sofa,Yes,Does not play music,No lighting,Not for sale,FtrParkbenche_Remake_0_0,0_0,3509,BoDSXSMQZtnJPKQBe
  box corner sofa  ,Navy blue,NA,NA,NA,No,No,No,NA,,675,Blue,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBoxsofaCorner_Remake_3_0,3_0,1853,Dm6yT3emYdLoYinbS
  DIGITAL SCALE  ,White,NA,White,Design,No,No,Yes,1,930,232,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_0_0,0_0,3307,2mNpm4xzP6xHcAPXE
lifeguard chair,Blue,NA,NA,NA,No,No,No,NA,NFS,5000,Blue,White,1x1,1000,Nook Miles Shop,,1.0.0,ocean,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrMonitoringchair_Remake_0_0,0_0,3345,o5zk7pS64Lcwzhhdy
  WOODEN TABLE  ,Pink wood,Paint color,None,Tablecloth,Yes,Yes,Yes,4,NFS,,Pink,Pink,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableL_Remake_7_0,7_0,3439,6kiqE7HWH2znhjuMZ
double sofa,Blue,NA,NA,NA,No,No,No,NA,4300,1075,Blue,Blue,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,Yes,Sofa,No,Does not play music,No lighting,For sale,FtrSofaL_Remake_3_0,3_0,2554,9j9CToxTa98p8ADsX
  throwback race-car bed  ,Yellow,NA,NA,NA,No,No,No,NA,3800,,Yellow,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,throwback,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrBoyBedS_Remake_2_0,2_0,4759,kXmCi7pmAg2chKq7a
  frozen bed  ,Ice blue,Illumination,Brown,Bedding,Yes,Yes,Yes,8,NFS,9000,Blue,Brown,2x2,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,Yes,Bed,Yes,Does not play music,No lighting,Not for sale,FtrIceBedW_Remake_1_0,1_0,3502,dgMibFh4DRuyuD4Mh
park clock,Brown,NA,NA,NA,No,No,No,NA,NFS,12000,Brown,White,1x1,2400,Nook Miles Shop,,1.0.0,garden,None,None,None,Yes,Clock,Yes,Does not play music,No lighting,Not for sale,FtrParkclock_Remake_3_0,3_0,3595,8Au2EB4tdo45xpcZ9
  LOG ROUND TABLE  ,White birch,Lumber type,Geometric print,Tablecloth,Yes,No,Yes,4,,1800,White,Colorful,2x2,NA,Crafting,,1.0.0,garden,living room,log,None,No,Table,Yes,Does not play music,No lighting,Not for sale,FtrLogTableLRound_Remake_3_2,3_2,4043,acaX4YvTPg9GZ7X7f
log stool,White wood,Lumber type,NA,NA,Yes,Yes,No,1,NFS,480,Beige,Beige,1x1,NA,Crafting,,1.0.0,garden,None,log,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrLogStoolS_Remake_2_0,2_0,4038,ALXdHxZxSkLD2Y9r8
vintage tv tray,Silver,NA,White,Tray,No,No,Yes,1,1200,300,Gray,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Table,No,Does not play music,No lighting,For sale,FtrTVtray_Remake_1_2,1_2,4445,mBecRNRKXmWzMGppz
  LOG EXTRA-LONG SOFA  ,White birch,Lumber type,None,Cushions,Yes,Yes,Yes,4,,1920,White,White,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaL_Remake_3_0,3_0,4044,sWMWPLGQELSqK2pQF
simple panel,Silver,NA,Horizontal planks,Panel design,No,No,Yes,1,810,202,Gray,Brown,1x0.5,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,No,Screen,No,Does not play music,No lighting,For sale,FtrScreenSimple_Remake_6_3,6_3,5338,y95E7YhK7CPvDG8eE
HAMMOCK,Blue,NA,Hibiscus flowers,Cloth,No,No,Yes,1,1300,,Blue,Light blue,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrHammock_Remake_3_2,3_2,1620,v3QuijmQvd5qmiEXj
  hammock  ,Black,NA,White,Cloth,No,No,Yes,1,1300,325,Black,White,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrHammock_Remake_6_3,6_3,1620,MQtoTqctyqA2Bchsg
  rock guitar  ,Natural wood,NA,Pop logo,Sticker area,No,No,Yes,2,,775,Beige,Colorful,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar1_Remake_5_6,5_6,1644,zBZ39HEkgB3qYjFWg
  bunk bed  ,Pink,NA,White,Bedding,No,No,Yes,2,5000,1250,Pink,White,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,FtrBunkbed_Remake_6_0,6_0,8298,2ydLKLZrqAkruHeaj
deluxe washer,Black,NA,NA,NA,No,No,No,NA,76000,19000,Black,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachineDrum_Remake_1_0,1_0,1227,A9cDRxPhu8yWgCr7C
deluxe washer,Blue,NA,NA,NA,No,No,No,NA,76000,19000,Blue,Blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachineDrum_Remake_2_0,2_0,1227,w37n9KYeeaGNAoFYb
RATTAN ARMCHAIR,White,NA,NA,NA,No,No,No,NA,3200,800,Light blue,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,rattan,None,Yes,Sofa,No,Does not play music,No lighting,For sale,FtrRattanChairS_Remake_3_0,3_0,4053,GDCR5zmaEbmmTHFuH
  outdoor bench  ,Red,NA,Green,Seat,No,No,Yes,1,,325,Red,Green,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,outdoors,None,None,None,Yes,Sofa,Yes,Does not play music,No lighting,For sale,FtrOutdoorchairM_Remake_4_2,4_2,3947,8oyE2tLMJCz4uz5JR
  HOSE REEL  ,Green,NA,NA,NA,No,No,No,NA,1400,350,Green,Beige,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,None,None,None,No,Garden,Yes,Does not play music,No lighting,For sale,FtrHosereel_Remake_3_0,3_0,4113,Aja6Y8BJCufbmSWdj
CHANGING ROOM,Brown,NA,Purple,Curtain,No,No,Yes,2,3700,,Orange,Purple,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Wardrobe,Shop,No,Does not play music,No lighting,For sale,FtrFittingroom_Remake_2_1,2_1,1816,BmTLWo9YRFvGmQFdK
zen-style stone,White granite,Stone,NA,NA,Yes,Yes,No,6,NFS,4500,Gray,Gray,1x1,NA,Crafting,,1.0.0,zen-style,horror,None,None,No,Japanese Style,Yes,Does not play music,No lighting,Not for sale,FtrGravestoneJapan_Remake_0_0,0_0,7317,xDuaerhiJuiJnwNDS
  school chair  ,Natural & silver,NA,NA,NA,No,No,No,NA,980,,Yellow,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,school,Yes,Chair,No,Does not play music,No lighting,For sale,FtrSchoolChairS_Remake_0_0,0_0,1308,NukHfecsnkaCp2QMz
Papa bear,Checkered,NA,Blue,Ribbon,No,No,Yes,3,,2125,Red,Blue,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearL_Remake_4_2,4_2,1499,N4qANzbii6fpDkcxF
sleeping bag,Blue,NA,NA,NA,No,No,No,NA,1400,350,Blue,Orange,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrSleepingbag_Remake_2_0,2_0,1434,2tgRqT44Dfuc6RHi2
dj's turntable,Black,NA,Pop logo,Flag,No,No,Yes,4,9300,2325,Black,Yellow,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,party,concert,None,None,Yes,Musical Instrument,No,Hi-fi,No lighting,For sale,FtrDJbooth_Remake_0_6,0_6,941,rJ6XcP7hnLAdPQnSW
throwback hat table,Blue,NA,NA,NA,No,No,No,NA,,950,Blue,Blue,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,child's room,fitness,throwback,None,No,Table,No,Does not play music,No lighting,For sale,FtrBoyTableL_Remake_1_0,1_0,4760,zpgadZ5b36PJfkRGW
fishing-rod stand,Black,Variation,NA,NA,No,Yes,No,1,NFS,300,Black,Black,1x1,NA,Fishing Tourney,,1.0.0,ocean,living room,None,None,No,Supplies,No,Does not play music,No lighting,Not for sale,FtrRodstand_Remake_2_0,2_0,3587,DoZ8JujCxSemiRdC9
upright locker,White,NA,Cool,Sticker area,No,No,Yes,2,3700,925,White,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrLocker_Remake_1_1,1_1,833,YoFRe7sceozdPR3A9
  FISH-DRYING RACK  ,Octopus,Variation,NA,NA,No,Yes,No,1,NFS,750,Orange,Beige,2x1,NA,Fishing Tourney,,1.0.0,ocean,garden,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrDriedfish_Remake_2_0,2_0,3581,HJ2ED2N53xRudjShv
wooden double bed,Pink wood,Paint color,Pink,Bedding,Yes,Yes,Yes,6,NFS,3600,Pink,Pink,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_7_1,7_1,7132,R9CWQbAxXixtZp9JZ
WOODEN DOUBLE BED,Blue,Paint color,Green,Bedding,Yes,Yes,Yes,6,NFS,3600,Blue,Green,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_6_3,6_3,7132,A7zMCCd9pfw9zPn6Y
IRONWOOD BED,Birch,Lumber type,Navy,Bedding,Yes,Yes,Yes,8,NFS,9900,Beige,Black,2x1,NA,Crafting,,1.0.0,living room,None,ironwood,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrIronwoodBedS_Remake_0_0,0_0,3200,JEcoSbWyZrv7tvZiQ
  beekeeper's hive  ,White,Paint color,NA,NA,Yes,Yes,No,4,,2400,White,White,1x1,NA,Crafting,,1.0.0,garden,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,FtrBeekeepingbox_Remake_1_0,1_0,3406,WdhfmHNG3KCDQdrS4
WOODEN-BLOCK STOOL,Pastel,Block color,NA,NA,Yes,Yes,No,1,NFS,600,Light blue,Light blue,1x1,NA,Crafting,,1.0.0,child's room,None,wooden block,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrBlockStoolS_Remake_3_0,3_0,5543,JkrgNR4zwnMusoz4J
hedge standee,Hibiscus,Season,NA,NA,Yes,Yes,No,1,NFS,600,Green,Red,1x0.5,NA,Crafting,,1.0.0,school,None,None,standee,No,School,No,Does not play music,No lighting,Not for sale,FtrHariboteHedge_Remake_4_0,4_0,531,nBtvcnKS5cu5nyPjf
  WOODEN DOUBLE BED  ,Light wood,Paint color,Blue,Bedding,Yes,Yes,Yes,6,NFS,3600,Beige,Light blue,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_0_2,0_2,7132,QM5ThhQJqqCdTqWdg
imperial dining chair,Brown,NA,NA,NA,No,No,No,NA,29000,7250,Green,Brown,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,shop,zen-style,None,imperial dining,Yes,Chair,No,Does not play music,No lighting,For sale,FtrChineseChair_Remake_1_0,1_0,7797,LewsiCSziWK5SNXj5
floor lamp,Natural,NA,White,Lampshade,No,No,Yes,1,1400,350,Beige,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,None,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrLamp_Remake_0_0,0_0,2561,LZBQBncGemMuS3oF9
  wedding chair  ,Cute,Design,NA,NA,No,Yes,No,2,2000,500,White,Pink,1x1,NA,Wedding Season,,1.2.0,party,expensive,wedding,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrWeddingChairS_Remake_0_0,0_0,12405,kgHqkSCZZSHaoCNCG
  vintage TV tray  ,Silver,NA,Black,Tray,No,No,Yes,1,1200,300,Gray,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Table,No,Does not play music,No lighting,For sale,FtrTVtray_Remake_1_1,1_1,4445,rLhRP92bTAuAzMPA9
ELECTRIC GUITAR,Marine emerald,NA,None,Sticker area,No,No,Yes,7,71000,,Light blue,Light blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_4_0,4_0,1645,utwBur5sSSpYJPavd
  FROZEN SCULPTURE  ,Ice purple,Illumination,NA,NA,Yes,Yes,No,7,NFS,6600,Purple,Purple,1.5x1.5,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIceArt_Remake_6_0,6_0,3501,twYuCudxKFe73hMnw
  studio spotlight  ,Blue,NA,NA,NA,No,No,No,NA,2100,,Black,Blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,concert,None,None,Yes,Lamp,No,Does not play music,Spotlight,For sale,FtrLampSpot_Remake_6_0,6_0,7189,2MfG3hbJAzna4ygyg
  shell table  ,Purple,Shell color,NA,NA,Yes,Yes,No,4,NFS,,Purple,Purple,2x2,NA,Crafting,,1.0.0,ocean,None,shell,None,No,Table,Yes,Does not play music,No lighting,Not for sale,FtrShellTableL_Remake_4_0,4_0,3980,yKEoPwwSmPPAfTMk2
  BOX CORNER SOFA  ,Pink,NA,NA,NA,No,No,No,NA,2700,675,Pink,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBoxsofaCorner_Remake_1_0,1_0,1853,XDTS9AhCbPBaCwsob
  CHANGING ROOM  ,Black,NA,Black,Curtain,No,No,Yes,2,3700,925,Black,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Wardrobe,Shop,No,Does not play music,No lighting,For sale,FtrFittingroom_Remake_4_2,4_2,1816,WxywpCh64irnyem5c
SCREEN,Pine,NA,NA,NA,No,No,No,NA,140000,35000,Yellow,Green,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,zen-style,expensive,None,None,No,Japanese Style,No,Does not play music,No lighting,For sale,FtrScreenByoubu_Remake_2_0,2_0,716,chz42N5FbGPkxyTgu
  digital scale  ,Black,NA,Floral,Design,No,No,Yes,1,930,232,Black,Red,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_1_1,1_1,3307,9rEvCpCeht9DagD3n
  SIMPLE PANEL  ,Brown,NA,Pegboard,Panel design,No,No,Yes,1,,202,Orange,Brown,1x0.5,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,No,Screen,No,Does not play music,No lighting,For sale,FtrScreenSimple_Remake_3_2,3_2,5338,H7tHRzitjW4nqrfKD
  ROCKET LAMP  ,Turquoise,NA,NA,NA,No,No,No,NA,,375,Light blue,Pink,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrLavalamp_Remake_3_0,3_0,1851,wWcfwGBc6yF88wrjb
WOODEN TABLE,White wood,Paint color,Pink,Tablecloth,Yes,Yes,Yes,4,NFS,1800,White,Pink,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableL_Remake_1_2,1_2,3439,pkfZzAcbvhphy4Ykm
